anio,semana,nombreestacion,temperatura_promedio
2011,27,PAJARITO - AUT,19.85433070866142
2011,28,PAJARITO - AUT,18.164285714285715
2011,29,PAJARITO - AUT,19.93888888888889
2011,30,PAJARITO - AUT,18.334730538922155
2011,31,PAJARITO - AUT,19.253939393939394
2011,32,PAJARITO - AUT,19.542405063291138
2011,33,PAJARITO - AUT,18.130357142857143
2011,34,PAJARITO - AUT,18.408982035928144
2011,35,PAJARITO - AUT,19.69754601226994
2011,36,PAJARITO - AUT,18.007878787878788
2011,37,PAJARITO - AUT,18.619607843137256
2011,38,PAJARITO - AUT,18.663157894736845
2011,39,PAJARITO - AUT,19.466666666666665
2011,40,PAJARITO - AUT,18.265408805031445
2011,41,PAJARITO - AUT,17.12283950617284
2011,42,PAJARITO - AUT,16.835443037974684
2011,43,PAJARITO - AUT,17.542666666666666
2011,44,PAJARITO - AUT,18.727631578947367
2011,45,PAJARITO - AUT,17.401948051948054
2011,46,PAJARITO - AUT,17.177551020408163
2011,47,PAJARITO - AUT,15.358333333333334
2011,48,PAJARITO - AUT,17.9135593220339
2011,49,PAJARITO - AUT,17.404402515723273
2011,50,PAJARITO - AUT,17.427407407407404
2011,51,PAJARITO - AUT,18.842073170731705
2011,52,PAJARITO - AUT,18.97440476190476
2012,1,PAJARITO - AUT,18.130357142857143
2012,2,PAJARITO - AUT,19.11497005988024
2012,3,PAJARITO - AUT,17.10314465408805
2012,4,PAJARITO - AUT,18.152095808383233
2012,5,PAJARITO - AUT,19.125149700598804
2012,6,PAJARITO - AUT,18.42083333333333
2012,7,PAJARITO - AUT,18.290151515151518
2012,8,PAJARITO - AUT,19.048427672955974
2012,9,PAJARITO - AUT,19.443971631205674
2012,10,PAJARITO - AUT,18.242168674698792
2012,11,PAJARITO - AUT,19.2319018404908
2012,12,PAJARITO - AUT,17.670481927710846
2012,13,PAJARITO - AUT,18.774233128834354
2012,14,PAJARITO - AUT,17.77590361445783
2012,15,PAJARITO - AUT,16.674666666666667
2012,16,PAJARITO - AUT,17.452121212121213
2012,17,PAJARITO - AUT,18.394904458598727
2012,18,PAJARITO - AUT,17.30204081632653
2012,19,PAJARITO - AUT,18.030434782608697
2012,20,PAJARITO - AUT,19.00979020979021
2012,21,PAJARITO - AUT,18.987769784172663
2012,22,PAJARITO - AUT,19.474418604651163
2012,23,PAJARITO - AUT,20.37847222222222
2012,24,PAJARITO - AUT,17.89673202614379
2012,24,VILLANUEVA,20.871014492753623
2012,25,PAJARITO - AUT,19.317283950617284
2012,25,VILLANUEVA,22.813636363636366
2012,26,PAJARITO - AUT,18.599999999999998
2012,26,VILLANUEVA,21.913414634146342
2012,27,PAJARITO - AUT,19.33125
2012,27,VILLANUEVA,22.48957055214724
2012,28,PAJARITO - AUT,18.462025316455698
2012,28,VILLANUEVA,21.54375
2012,29,PAJARITO - AUT,19.89568345323741
2012,29,VILLANUEVA,23.396527777777777
2012,30,PAJARITO - AUT,19.933125
2012,30,VILLANUEVA,23.35238095238095
2012,31,PAJARITO - AUT,18.88343949044586
2012,31,VILLANUEVA,21.938364779874213
2012,32,PAJARITO - AUT,19.075
2012,32,VILLANUEVA,22.18154761904762
2012,33,PAJARITO - AUT,18.64879518072289
2012,33,VILLANUEVA,21.698214285714286
2012,34,PAJARITO - AUT,17.665467625899282
2012,34,VILLANUEVA,21.016666666666666
2012,35,PAJARITO - AUT,19.60268456375839
2012,35,VILLANUEVA,23.049090909090907
2012,36,PAJARITO - AUT,19.607368421052634
2012,36,VILLANUEVA,22.90504201680672
2012,37,PAJARITO - AUT,19.77452229299363
2012,37,VILLANUEVA,23.100609756097562
2012,38,PAJARITO - AUT,19.22202380952381
2012,38,VILLANUEVA,22.174404761904764
2012,39,PAJARITO - AUT,18.975595238095238
2012,39,VILLANUEVA,21.766666666666666
2012,40,PAJARITO - AUT,18.583333333333332
2012,40,VILLANUEVA,21.77090909090909
2012,41,PAJARITO - AUT,18.089880952380952
2012,41,VILLANUEVA,21.120238095238093
2012,42,PAJARITO - AUT,17.255357142857143
2012,42,VILLANUEVA,20.085714285714285
2012,43,PAJARITO - AUT,18.746428571428574
2012,43,VILLANUEVA,21.744642857142857
2012,44,PAJARITO - AUT,18.6125
2012,44,VILLANUEVA,21.73392857142857
2012,45,PAJARITO - AUT,18.89761904761905
2012,45,VILLANUEVA,22.060119047619047
2012,46,PAJARITO - AUT,17.486309523809524
2012,46,VILLANUEVA,20.417261904761904
2012,47,PAJARITO - AUT,18.88154761904762
2012,47,VILLANUEVA,21.751785714285717
2012,48,PAJARITO - AUT,18.197619047619046
2012,48,VILLANUEVA,21.267857142857142
2012,49,PAJARITO - AUT,18.692857142857143
2012,49,VILLANUEVA,21.91547619047619
2012,50,PAJARITO - AUT,18.417261904761904
2012,50,VILLANUEVA,21.652380952380952
2012,51,PAJARITO - AUT,18.638095238095236
2012,51,VILLANUEVA,21.913095238095238
2012,52,PAJARITO - AUT,19.041666666666668
2012,52,VILLANUEVA,22.372619047619047
2013,1,PAJARITO - AUT,20.10238095238095
2013,1,VILLANUEVA,23.26845238095238
2013,2,PAJARITO - AUT,20.15952380952381
2013,2,VILLANUEVA,23.225
2013,3,PAJARITO - AUT,18.998809523809523
2013,3,VILLANUEVA,22.007738095238096
2013,4,PAJARITO - AUT,19.28214285714286
2013,4,VILLANUEVA,22.39761904761905
2013,5,PAJARITO - AUT,19.03333333333333
2013,5,VILLANUEVA,22.208928571428572
2013,6,PAJARITO - AUT,18.067261904761907
2013,6,VILLANUEVA,20.816666666666666
2013,7,PAJARITO - AUT,18.148809523809526
2013,7,VILLANUEVA,21.192261904761907
2013,8,PAJARITO - AUT,19.827380952380953
2013,8,VILLANUEVA,23.05297619047619
2013,9,PAJARITO - AUT,19.955357142857142
2013,9,VILLANUEVA,23.038690476190474
2013,10,PAJARITO - AUT,20.54642857142857
2013,10,VILLANUEVA,23.624404761904763
2013,11,PAJARITO - AUT,19.383928571428573
2013,11,VILLANUEVA,22.388095238095236
2013,12,PAJARITO - AUT,18.576785714285716
2013,12,VILLANUEVA,21.21309523809524
2013,13,PAJARITO - AUT,20.083928571428572
2013,13,VILLANUEVA,23.15416666666667
2013,14,PAJARITO - AUT,20.245238095238093
2013,14,VILLANUEVA,23.475
2013,15,PAJARITO - AUT,20.41488095238095
2013,15,VILLANUEVA,23.374404761904763
2013,16,PAJARITO - AUT,18.567261904761907
2013,16,VILLANUEVA,21.611309523809524
2013,17,PAJARITO - AUT,18.932738095238093
2013,17,VILLANUEVA,21.732738095238094
2013,18,PAJARITO - AUT,18.041071428571428
